Category: All categories

Month,quick commerce: (India),dunzo: (India),Swiggy: (India)
2020-01,0,7,2
2020-02,<1,7,3
2020-03,0,8,2
2020-04,0,12,2
2020-05,0,9,39
2020-06,0,7,61
2020-07,<1,9,54
2020-08,<1,7,66
2020-09,0,6,39
2020-10,<1,6,58
2020-11,0,9,66
2020-12,0,6,50
2021-01,0,6,63
2021-02,0,6,78
2021-03,<1,6,39
2021-04,0,10,64
2021-05,0,16,100
2021-06,<1,11,68
2021-07,<1,8,38
2021-08,<1,7,36
2021-09,<1,6,49
2021-10,<1,6,64
2021-11,<1,7,64
2021-12,<1,8,69
2022-01,<1,13,37
2022-02,<1,10,63
2022-03,<1,11,62
2022-04,<1,12,70
2022-05,<1,22,73
2022-06,<1,17,70
2022-07,<1,14,67
2022-08,<1,13,69
2022-09,<1,12,65
2022-10,<1,12,57
2022-11,<1,10,44
2022-12,<1,10,63
2023-01,<1,9,69
2023-02,<1,8,70
2023-03,<1,8,74
2023-04,<1,7,79
2023-05,<1,7,74
2023-06,<1,7,90
2023-07,<1,8,91
2023-08,<1,7,86
2023-09,<1,6,85
2023-10,<1,6,79
2023-11,<1,6,78
2023-12,<1,5,78
2024-01,<1,5,65
2024-02,1,5,88
2024-03,1,5,94
2024-04,1,4,91
2024-05,1,5,77
2024-06,1,4,72
2024-07,1,4,79
2024-08,2,5,82
2024-09,1,5,81
2024-10,1,4,72
2024-11,2,3,69
2024-12,2,3,69
2025-01,3,6,47
2025-02,2,3,54
2025-03,2,3,71
2025-04,2,4,63
2025-05,2,4,68
2025-06,2,4,73
2025-07,2,3,75
2025-08,2,4,70
2025-09,2,3,61
2025-10,2,3,61
